0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80
0.017949	0.001095	0.000473	0.00043	0.000459	0.00085	0.000958	0.001304	0.0017	0.002506	0.003829	0.005811	0.009215	0.014829	0.025195	0.04538	0.078454
0.018497	0.001106	0.000433	0.0004	0.000608	0.000811	0.000883	0.001214	0.001601	0.002189	0.003822	0.005688	0.008959	0.014209	0.024328	0.04346	0.077593
0.017913	0.000981	0.000355	0.000329	0.000461	0.000618	0.000773	0.001086	0.001428	0.002258	0.00326	0.00562	0.008572	0.014219	0.02398	0.042797	0.073983
0.016582	0.000905	0.000386	0.000294	0.000458	0.000684	0.00076	0.001097	0.001379	0.002146	0.00324	0.005467	0.00858	0.013855	0.024251	0.043734	0.074381
0.015045	0.000877	0.00038	0.000371	0.000393	0.000535	0.000775	0.001022	0.001366	0.002072	0.003274	0.005148	0.008025	0.013494	0.023395	0.041387	0.071618
0.015723	0.000845	0.000458	0.000274	0.000426	0.000575	0.000736	0.000829	0.001392	0.002093	0.003236	0.005178	0.007953	0.012718	0.02251	0.040182	0.069859
0.01563	0.000822	0.000339	0.000279	0.000476	0.000503	0.000614	0.000935	0.001293	0.001916	0.003042	0.00468	0.007382	0.012449	0.022483	0.040145	0.070135
0.015775	0.000738	0.000369	0.000309	0.000437	0.000525	0.000618	0.000866	0.001178	0.001938	0.003027	0.004678	0.007667	0.012979	0.022355	0.040507	0.071794
0.013523	0.000801	0.000322	0.000318	0.000427	0.000418	0.000609	0.000789	0.0013	0.001959	0.003086	0.004637	0.007343	0.012226	0.021352	0.038426	0.06888
0.013902	0.000694	0.000338	0.000223	0.000383	0.00047	0.000606	0.000724	0.001234	0.001949	0.002684	0.004398	0.006893	0.011664	0.02059	0.037582	0.066361
0.014207	0.000775	0.000326	0.000248	0.000407	0.000452	0.000659	0.000802	0.001184	0.001765	0.003123	0.004566	0.006996	0.011744	0.020395	0.038987	0.06944
0.014003	0.000677	0.000367	0.000277	0.000348	0.000467	0.000631	0.000711	0.001007	0.001568	0.002959	0.004422	0.006673	0.011057	0.019453	0.036774	0.066522
0.013418	0.000667	0.000395	0.000296	0.000354	0.000393	0.000579	0.000698	0.001122	0.001774	0.002569	0.004257	0.006569	0.010962	0.019527	0.03688	0.066418
0.013622	0.000567	0.000292	0.000269	0.000482	0.000447	0.000594	0.000811	0.001022	0.001641	0.002913	0.004144	0.006728	0.010658	0.019768	0.03448	0.064611
0.013094	0.000583	0.000301	0.000236	0.000405	0.000464	0.000627	0.000758	0.00119	0.001667	0.002724	0.004332	0.006396	0.011094	0.018752	0.034188	0.062164
0.012033	0.000544	0.000317	0.000252	0.000437	0.000436	0.000506	0.000768	0.001151	0.001821	0.002702	0.004182	0.006348	0.010452	0.018546	0.033327	0.061513
0.010591	0.000516	0.000342	0.000207	0.00041	0.000528	0.000472	0.000732	0.001135	0.001664	0.002543	0.003975	0.006102	0.010148	0.01752	0.032872	0.060936
0.011363	0.000458	0.000256	0.000235	0.000316	0.000464	0.000609	0.000822	0.001048	0.001707	0.002645	0.00385	0.006063	0.009708	0.017577	0.031954	0.061438
0.010857	0.000426	0.00037	0.000243	0.000388	0.000501	0.000524	0.000773	0.001113	0.00167	0.002682	0.0039	0.006347	0.009905	0.017409	0.032897	0.06126
0.009199	0.000446	0.000288	0.000213	0.000425	0.000441	0.000518	0.000774	0.001095	0.001858	0.002768	0.004048	0.006174	0.010499	0.016811	0.033072	0.058924
0.009571	0.000407	0.00036	0.000213	0.000465	0.000473	0.000519	0.000654	0.001122	0.001699	0.002632	0.004099	0.005857	0.009702	0.016414	0.029298	0.054398
0.009891	0.000383	0.000211	0.000299	0.000421	0.000415	0.000432	0.000746	0.001144	0.001716	0.002586	0.003966	0.005907	0.009501	0.015816	0.029178	0.053601
0.008869	0.000438	0.000281	0.000191	0.000387	0.000424	0.000582	0.000698	0.00107	0.001547	0.002508	0.003957	0.005827	0.009347	0.015862	0.029139	0.054183
0.008859	0.000361	0.000252	0.000251	0.000372	0.000437	0.000504	0.00074	0.001067	0.00154	0.002471	0.00382	0.005581	0.008998	0.015844	0.028422	0.052241
0.008549	0.000385	0.000273	0.000196	0.000405	0.000413	0.000454	0.000659	0.001019	0.001582	0.002459	0.003813	0.005801	0.008921	0.015561	0.028206	0.051156
0.007188	0.000388	0.000251	0.000259	0.000437	0.000354	0.00052	0.000723	0.000981	0.001674	0.002619	0.003882	0.005682	0.008934	0.015387	0.027273	0.051968
0.007291	0.000306	0.000237	0.000204	0.000451	0.000506	0.000549	0.000743	0.001081	0.001696	0.002296	0.003744	0.005568	0.009213	0.014793	0.027213	0.050605
0.006941	0.000275	0.000171	0.000199	0.000366	0.000434	0.000467	0.000619	0.000974	0.001683	0.002441	0.003738	0.005564	0.008724	0.014263	0.025172	0.04785
0.006585	0.000342	0.000191	0.000163	0.000382	0.000457	0.000449	0.000625	0.000949	0.001537	0.002342	0.00359	0.005306	0.008223	0.014334	0.025759	0.04789
0.006591	0.000375	0.000184	0.000209	0.000335	0.000414	0.000485	0.000687	0.000906	0.001604	0.002199	0.003802	0.005704	0.00841	0.014141	0.024811	0.046533
0.005723	0.000346	0.000162	0.000197	0.000284	0.000379	0.000484	0.000651	0.000948	0.001668	0.002327	0.003549	0.005615	0.008665	0.014008	0.024696	0.045976
0.006398	0.000207	0.000135	0.000147	0.000325	0.00033	0.000432	0.000581	0.000863	0.00126	0.00243	0.003204	0.005376	0.008454	0.013639	0.025326	0.0441
0.006457	0.000288	0.00015	0.000142	0.000273	0.000335	0.000427	0.000582	0.000913	0.001328	0.002185	0.003419	0.005404	0.008075	0.013794	0.023725	0.042867
0.00699	0.00022	0.000123	0.000114	0.000294	0.000346	0.00047	0.0006	0.000828	0.001325	0.002183	0.003525	0.004759	0.007783	0.013254	0.022768	0.041552
0.00558	0.000232	0.000123	0.000155	0.000229	0.000325	0.000463	0.000623	0.000794	0.001368	0.001995	0.003167	0.0051	0.008181	0.012375	0.022326	0.041307
0.006438	0.000284	0.000105	0.000155	0.000308	0.000329	0.000433	0.000675	0.00092	0.001232	0.001889	0.003314	0.00513	0.007807	0.013026	0.022344	0.042335
0.00533	0.000343	0.000119	0.000127	0.000243	0.000326	0.000458	0.000542	0.000877	0.001192	0.002253	0.003261	0.004695	0.007752	0.012852	0.021896	0.039489
0.005622	0.000304	0.000111	0.000115	0.000286	0.000328	0.000422	0.000603	0.000825	0.001265	0.002046	0.003244	0.004761	0.007961	0.012297	0.022003	0.039129
0.00516	0.000264	0.000124	0.000119	0.000281	0.000393	0.000477	0.000544	0.000884	0.001397	0.002287	0.003076	0.004835	0.007798	0.012898	0.022297	0.039784
0.005026	0.000283	0.000106	0.000126	0.000327	0.000303	0.000407	0.000491	0.000904	0.001287	0.002054	0.003009	0.004627	0.007199	0.012064	0.020197	0.037987
